entire lamina septum pellucidum	gehele lamina septi pellucidi
sprain of collateral ligament of interphalangeal joint of great toe	verzwikking van collateraal ligament van interfalangeaal gewricht van grote teen
partial upper denture	partiële bovengebitsprothese
wound tissue undermining	ondermijning van weefsel van verwonding
colour of skin or mucosa	kleur van huid of slijmvlies
posterior segment of right upper lobe	posterieure segment van bovenkwab van rechter long
tricarboxylporphyrin measurement	bepalen van triporfyrine
structure of vastus lateralis muscle	structuur van musculus vastus lateralis
irregular tachycardia	irregulaire tachycardie
fluoroscopy guided localization of lesion with diagnostic dye	lokalisatie van afwijkend weefsel met diagnostische kleurstof onder röntgendoorlichting
anti-factor V	antilichaam tegen factor V
incomplete ossification of arch of lumbar vertebra	onvolledige verbening van lumbale wervelboog
entire organ in urinary system	gehele orgaan van systema urinarium
DMD - Duchenne muscular dystrophy	Duchenne muscular dystrophy [DMD]
structure of apocrine sweat gland bearing skin of areola	structuur van huid van areola mammae met apocriene zweetklier
alpha-fetoprotein gene blood test not wanted	bepalen van alfafoetoproteïne in bloed niet gewenst
attention - action	attentie
screening - no abnormality detected	screening - geen afwijking geconstateerd
posterior cord syndrome of spinal cord at twelfth thoracic level	posterieur ruggenmergsyndroom op twaalfde thoraxniveau
surgical perinephric fat margin involved by malignant neoplasm	chirurgische perinefrine vetmarge betrokken bij kwaadaardig neoplasma
structure of intranasal hair	structuur van endonasaal haar
neoplasm of uncertain behaviour of pharynx	neoplasma van farynx met onzeker maligne potentieel
streptomyces thermoviolaceus apingens	Streptomyces thermoviolaceus subsp. apingens
leishmania mexicana localised cutaneous leishmaniasis	gelokaliseerde leishmaniasis cutanea door Leishmania mexicana
sinus venosus of right atrium	structuur van sinus venosus van rechter atrium
structure of facet for sixth costal cartilage of sternum	structuur van incisura costalis voor zesde rib
computed tomography of both hands with contrast	computertomografie van beide handen met contrast
VEGA electroacupuncture therapy	vegatest met behulp van elektroacupunctuur
entire wall of rectum	gehele wand van het rectum
cyanogen bromide	Cyanogeenbromide
maturation deceleration	vertraagde rijping
glycomyces sambucus	Glycomyces sambucus
entire facial nerve zygomatic branch	gehele ramus zygomaticus van nervus facialis
provider of history other than subject	persoon uit omgeving van patiënt voor heteroanamnese
exploration of cranial nerve	exploratie van nervus cranialis
social service occupation	beroep in sociaal-maatschappelijke dienstverlening
foreign body in gum	corpus alienum in gingiva
plasma human chorionic gonadotrophin multiple of median measurement	bepalen van 'multiple of median' van humaan choriongonadotrofine in plasma
lower alveolar ridge mucosa	tunica mucosa van mandibulaire crista alveolaris
history of anticonvulsant therapy	geschiedenis van de anticonvulsietherapie
closure of jejunal fistula	sluiten van jejunumfistel
excision of lesion of infratemporal fossa	excisie van laesie van fossa infratemporalis
historical association reference set	referentieset voor associaties betreffende historie
poisoning by ergot alkaloid	vergiftiging door ergotalkaloïd
product containing teicoplanin in parenteral dose form	product dat teicoplanine in parenterale vorm bevat
product containing naphazoline in pulmonary dose form	product dat nafazoline in pulmonaire vorm bevat
surgical proximal bile duct margin involved by malignant neoplasm	proximaal snijvlak van galweg niet vrij van maligne neoplasma
chromosomal inheritance	X-gebonden overerving
infantile-onset ascending hereditary spastic paralysis	toenemende erfelijke spastische paralyse met aanvang tijdens vroege kindertijd
head of sixth rib	caput van costa 6
open fractures involving multiple regions of one upper limb	open fracturen met betrokkenheid van meerdere gebieden van één arm
allergy to chlorpropamide	allergie voor chloorpropamide
acute bloody pericarditis	acute hemorragische pericarditis
MRI of face and orbit with contrast	MRI van aangezicht en orbita met contrast
cellulitis of upper limb	cellulitis van bovenste extremiteit
shoulder joint	articulatio humeri
nephrogenic rests absent in specimen	nefrogeenresten afwezig in het monster
blood group B Rh(D) negative	bloedgroep B rhesus D-negatief
dega osteotomy of pelvic bone	osteotomie van bot van bekken volgens Dega
microbe-binding hydrophobic dressing	wondverband voor hydrofobe binding van micro-organismen
long QT syndrome	lange-QT-intervalsyndroom
para-aortic nodes	para-aortale lymfeklieren
accidental zuclopenthixol poisoning	accidentele intoxicatie door zuclopentixol
magnetic resonance imaging of left hip	magnetic resonance imaging van linker heup
crown surgical drill which is single-use	chirurgische kroonboor voor eenmalig gebruik
cuffed central venous catheter	geboeid centraal veneuze katheter
entire inferior petrosal sinus	gehele sinus petrosus inferior
acute erosion of duodenum	acute erosie van twaalfvingerige darm
injury of articular cartilage of left knee joint	letsel van gewrichtskraakbeen van linker knie
low anterior resection of rectum with colostomy	lage anterieure resectie van rectum met colostomie
luteinising hormone by colour comparison method for ovulation test	bepalen van LH door kleurvergelijkingsmethode voor ovulatietest
irons Bianchi syndrome	syndroom van Irons-Bianchi
blister of scalp with infection	geïnfecteerde blaar van behaarde hoofdhuid
aquagenic epilepsy	reflexepilepsie door heet water
haematoma of uterus	hematoom van uterus
eosinophilic oesophagitis	eosinofiele oesofagitis
blindness of one eye	blindheid van één oog
intentional oxypertine poisoning	intentionele vergiftiging door oxypertine
entire gastric vein	gehele maagader
chronic nonsuppurative osteitis of jaw	chronische niet-supportieve osteitis van de kaak
unable to recognise warning sounds	niet in staat om waarschuwingsgeluid te herkennen
entire oral hard tissue	gehele harde orale weefsel
removal of prosthesis from duodenum	verwijderen van duodenumstent
benign neoplasm of adrenal gland	benigne neoplasma van bijnier
structure of pedicle of sixth cervical vertebra	structuur van pediculus van zesde cervicale wervel
infection caused by Spiculocaulus	infectieziekte door genus Spiculocaulus
on examination - sign tethered	op onderzoek - teken vastgebonden
cobalt modified diet	dieet met aangepaste inname van kobalt
structure of sural nerve in ankle region	nervus suralis in enkelregio
subcutaneous tissue of palpebral margins	subcutaan weefsel van rand van ooglid
deep third degree burn of ear	vierdegraads brandwond van oor
at risk of complication of stoma	risico op complicatie van stoma
product containing ganciclovir	product dat ganciclovir bevat
substance use therapy	therapie bij middelengebruik
excessive physical exercise	excessieve lichaamsbeweging
bundleia	Bundleia
beefmaker cattle	Rundveehouderij
assessment using Rutter A Scale	beoordeling met 'Rutter A Scale'
incisional biopsy of testis	incisiebiopsie van teelbal
calculus of bile duct with cholangitis	galwegsteen met cholangitis
elastoplast mold	elastoplastische schimmel
soft palate	zachte gehemelte
abrasion and/or friction burn of head which is infected	ontvelling en/of brandwond van hoofd door wrijving met infectie
percutaneous lumbar vertebroplasty using fluoroscopic guidance	percutane vertebroplastiek van lumbale wervel onder röntgendoorlichting
movement reduces spinal deformity	beweging vermindert ruggengraatvervorming
poisoning by antidote AND/OR chelating agent	intoxicatie door antidotum en/of chelator
daily headache	dagelijkse hoofdpijn
unsuccessful subcutaneous contraceptive insertion	insertie van onderhuids anticonceptiemiddel mislukt
out of hours visit - not night visit	niet 's nachts bezoek buiten openingstijden
burn of lymphoreticular structure	verbranding van structuur van lymforeticulair systeem
administration of depot contraceptive	depotinjectie van anticonceptivum
lateral ligament of ankle joint	ligamentum collaterale laterale van enkelgewricht
gangrene of right foot	gangreen van rechtervoet
adjustment to Angelchik prosthesis	aanpassen van anti-reflux prothese van Angelchik en Cohen
iodophthalein	jodoftaleïne
primary immunodeficiency	primaire immunodeficiëntie
trichophytobezoar	trichofytobezoar
antigen of heat inactivated Vibrio cholerae serogroup O1 serotype Inaba biotype classical	antigeen van door hitte geïnactiveerde Vibrio cholerae O1 Inaba biotype klassiek
cowper's duct	gang van klier van Cowper
promicromonospora citrea	Promicromonospora citrea
doppler ultrasonography of jugular vein	echo-Doppler-onderzoek van vena jugularis
stress fracture of navicular bone of foot	vermoeidheidsfractuur van os naviculare
specimen from nasal sinus obtained by fine needle aspiration biopsy	cytologische punctaat van sinus paranasalis
second degree burn of mandibular attached gingiva	tweedegraads brandwond van tandvlees van onderkaak
entire magnocellular hypothalamic nucleus	gehele pars magnocellularis van nucleus van hypothalamus
lesser metatarsophalangeal joint pain	pijn in MTP-gewricht van digitus II tot en met V
branch of brachiocephalic artery	structuur van tak van truncus brachiocephalicus
radicular pulp of tooth	pulpa radicularis
maxillary multisegmental osteotomy	multisegmentale osteotomie van maxilla
breast mass	massa van borst
removal of all drains	verwijderen van alle drains
hyperleucine-isoleucinemia	hyperleucine-isoleucinemie
second generation cephalosporin overdose	overdosis van cefalosporine van tweede generatie
consultation for COPD	consult voor COPD
carcinoma of main bronchus	carcinoom van hoofdbronchus
product containing only sodium bicarbonate and sodium citrate	product dat enkel natriumbicarbonaat en natriumcitraat bevat
entire lateral epicondyle of femur	gehele laterale epicondylus van het dijbeen
excision of myoma of cervix	myoomresectie van baarmoederhals
finding of shoulder region	bevinding betreffende schoudergebied
abnormal head presentation delivery	partus met afwijkende hoofdligging
genitourinary chlamydia infection	urogenitale infectie door Chlamydia
anaesthesia for procedure on thoracic oesophagus	anesthesie voor verrichting aan thoracale oesofagus
benserazide hydrochloride	benserazidehydrochloride
x-linked hydrocephalus syndrome	hydrocefalus met vernauwing van aquaduct van Sylvius
collection of specimen by adhesive slide	afname van monster met adhesie-objectglaasje
procedure on neoplasm of ocular adnexa	verrichting aan neoplasma van adnex van oog
sulfhaemoglobinuria	sulfhaemoglobinurie
open wound of larynx	open wond van larynx
laparoscopic repair of spigelian hernia using biological mesh with fascial closure	laparoscopisch operatief herstel van spiegelse breuk met biologisch matje inclusief fasciesluiting
reduction of transjugular intrahepatic portosystemic shunt stent using fluoroscopic guidance	reductie van stent in TIPS onder doorlichting
thrombophlebitis of breast	tromboflebitis van mamma
malignant mast cell tumour of intra-abdominal lymph nodes	maligne mestceltumor van intra-abdominale lymfeknoop
acquired ape hand	verworven apenhand
food composition types	soorten voedselsamenstelling
alcaligenes faecalis subsp. phenolicus	Alcaligenes faecalis phenolicus
dilation of nasopharynx	dilateren van nasofarynx
metastasis from malignant tumor of breast	gemetastaseerd maligne neoplasma van mamma
urine dipstick for pH	bepalen van pH in urine met teststrip
parotid structure	structuur van stelsel van parotisklieren
metoclopramide overdose	overdosis van metoclopramide
