gastric aspirate present	ventrikelaspirat påvist
congenital absence of lumbar vertebra	Kongenit manglende lændehvirvel
formaldehyde 10% solution	formaldehyd 10 % opløsning
upper left intermediate incisor tooth	midterste venstresidige incisiv i maxilla
date of birth	Fødselsdato
no tumor-associated epithelial lesion identified	ingen tumorassocieret epitellæsion identificeret
leukaemic infiltrate of choroid	Leukæmisk choroideainfiltrat
unit of volume	volumenenhed
seen by drama therapist	Tilset af dramaterapeut
bypass of bifurcation of aorta by anastomosis of aorta to iliac artery with prosthesis	aortabifurkatur-bypass med anlæggelse af anastomose mellem aorta og iliacaarterie vha. protese
simple linear extraction of lens	Simpel lineær ekstraktion af linse
supraorbital facial cleft - Tessier cleft 10	Supraorbital ansigtsspalte  Tessier 10
fear of saying the wrong thing	Frygt for at sige noget forkert
calcium fortified skimmed milk	calciumberiget skummetmælk
central alpha-adrenoceptor agonist	Central alfa-adrenoreceptoragonist
salmonella group O:50	Salmonella gruppe O:50
sodium chloride 600mg m/r tablet	natriumchlorid tablet 600 mg med modificeret udløsning
doctor stopped drugs - avoid interaction	lægen har seponeret lægemidler - undgåelse af interaktion
single closed traumatic dislocation, metatarsophalangeal joint	Lukket traumatisk luksation af enkelt metatarsofalangealled
destruction of retroperitoneal cysts	Destruktion af retroperitoneale cyster
varicella-zoster immunoglobulin adverse reaction	bivirkning af varicella zoster-immunglobulin
abortion number 9	abort nr. 9
entire inferior epigastric artery	arteria epigastrica inferior som helhed
aspiration of ovarian cyst	Aspiration af ovariecyste
cortisol derivative	Cortisolderivat
speaks at normal rate	Taler med normal hastighed
7g protein exchanges/day	7 g proteinudskiftninger/dag
prochlorperazine mesylate	prochlorperazinmesylat
abnormal tooth mobility	Abnorm tandmobilitet
underwriter	assurandør
decreased passive range of thoracic spine left lateral flexion	Reduceret bevægeudslag ved passiv lateral fleksion af brystrygsøjlen mod venstre
neoplasm of nipple of male breast	neoplasme i brystvorte hos mand
congenital bowing of fibula	Kongenit krumning af fibula
sacral axis	sakralakse
amphimerus pseudofelineus	Amphimerus pseudofelineus
eczema of leg	Eksem på ben
unable to use verbal reasoning	ude af stand til at ræsonnere verbalt
occult blood screening	Screening for okkult blod
affinity chromatography measurement	bestemmelse vha. affinitetskromatografi
unspecified open total excision of semilunar cartilage	uspecificeret åben total excision af menisk
inlay replacement - action	udskiftning af indlæg - handling
site-specific disorder of skin	Lokalisationsspecifik hudsygdom
antirheumatic agent	antireumatisk middel
pericarditis secondary to uraemia	Perikardit sekundært til uræmi
benign neoplasm of lower lobe bronchus and lung	Benignt neoplasme i bronkie i underlap og lunge
bilirubin oxidase	Bilirubinoxidase
enzootic abortion of ewes agent	agens som årsag til enzootisk abort hos får
scrofulous tuberculous abscess	Skrofuløs tuberkuløs absces
darbepoetin alfa 20micrograms/0.5mL prefilled syringe	darbepoetin alfa 20 µg/0,5 ml fyldt sprøjte
foetal dental lamina structure	struktur af dental lamina hos foster
wedge angle	Kilevinkel
blistering of skin due to coma	blæredannelse på huden som følge af coma
social/personal history	ikke nærmere specificeret Social/personlig anamnese
discharge by mental health counsellor	udskrivelse foretaget af sundhedsperson med speciale i psykiatrisk rådgivning
structure of superior nasopharynx	struktur af superiore pars nasalis pharyngis
excessive cholecystokinin-pancreozymin secretion	Kraftig kolecystokinin-pankreozyminsekretion
MRI of cervical spine	MR af halshvirvelsøjle
oxymorphone	Oxymorphon
cetirizine hydrochloride 5mg/5 mL syrup	cetirizinhydrochlorid 5 mg/5 ml syrup
destruction of lesion of choroid by photocoagulation	Destruktion af morfologisk forandring af choroidea med fotokoagulering
psorospermiasis	Psorospermiasis
status of non-invasive (desmoplastic) ovarian tumor omental implants	Status for udsæd til oment fra ikke-invasiv (desmoplastisk) ovarietumor
extracorporeal circulation procedure	ekstrakorporalt kredsløbsindgreb
hilus cell tumour of ovary	hilumcelletumor i ovarium
less than 60% of predicted peak flow rate	mindre end 60 % af forventet peak flow
herpetic acute necrotising encephalitis	akut herpes med nekrotiserende encefalit
borjeson-Forssman-Lehmann syndrome	Börjeson-Forssman-Lehmanns syndrom
flumethasone preparation	flumethasonpræparat
avulsion of lip	Avulsion af læbe
secondary localised osteoarthrosis of shoulder region	Sekundær lokaliseret osteoartrose i skulderområde
general farmer	landmand generelt
siAR 126 virus	SiAR 126-virus
impacted cerumen	Impakteret cerumen
armed forces	væbnede styrker
anaphylaxis caused by vegetable	anafylaksi forårsaget af grønsag
impaired firm touch sensation	svækket fornemmelse ved kraftig berøring
entire superior thalamic radiation of internal capsule	radiatio thalamica superior som helhed i capsula interna
co-beneldopa 50mg/200mg capsule	co-beneldopa kapsel a 50 mg/200 mg
allergy to nicardipine	allergi over for nicardipin
zygomaticofacial nerve	ramus zygomaticofacialis nervi zygomatici
digestive endoscope	endoskop til fordøjelseskanalen
received postgraduate education	modtaget postgraduat uddannelse
allergy to thioguanine	allergi over for thioguanin
measurement of N-methyl-D-aspartate receptor antibody	måling af antistof mod N-methyl-D-aspartat-receptor
structure of pudendal nerve	struktur af nervus pudendus
structure of preganglionic sympathetic fiber	struktur af præganglionær sympatisk fiber
distant muscle microvascular free flap	rekonstruktion af muskel vha. mikrovaskulær fri lap
bone structure of face	Knoglestruktur af ansigtet
other specified placement of prosthesis in fallopian tube	Anden specificeret placering af protese i tuba uterina
active range of shoulder horizontal extension	Bevægeudslag i skulderled ved aktiv horisontal ekstension
lives with son	bor sammen med søn
diagnostic procedure on iris	Diagnostisk indgreb på iris
fluorometholone 0.1% ointment	fluorometholon 0,1 % salve
multiple muscular ventricular septum defect	Multiple muskulære ventrikelseptumdefekter
closed fracture of superior maxilla	Lukket fraktur af superiore maksil
allochromatium	Allochromatium
familial sea-blue histiocytosis	familiær sea blue-histiocytose
neoplasm of trapezium	neoplasme i os trapezium
referral by general physician	henvisning foretaget af  almen læge
betamethasone sodium phosphate+neomycin sulfate 0.1/0.5% eye ointment	betamethasondinatriumphosphat +neomycinsulfat 0,1 %/0,5 % øjensalve
standing/tilting	Opretstående/tiltet
gender dysphoria	Kønsdysfori
disorder presenting primarily with chorea	der primært manifesterer sig ved chorea Sygdom
repair of gastroschisis	udbedring af gastroskise
does not avoid obstacles in path	Undgår ikke forhindringer på vejen
angioplasty of vertebral artery	angioplastik på arteria vertebralis
ribs or sternum incision of bone of thorax	costae eller sternum incision i thoraxknogle
accident due to collapse of burning caravan	uheld forårsaget af sammenstyrtning af brændende campingvogn
mycobacterium botniense	Mycobacterium botniense
multiple pregnancy  which is unspecified	uspecificeret Flerfoldsgraviditet, ikke nærmere specificeret
mitral and aortic insufficiency	Mitral og aortisk insufficiens
ulnar collateral ligament sprain thumb, metacarpophalangeal joint	overstrækning af ulnart kollateralligament i tommelfingers metakarpofalangealled
epinephrine 1mg/mL injection solution ampule	ampul epinephrin 1 mg/ml injektionsvæske, opløsning
open reduction of malar and zygomatic fracture	Åben reponering af fraktur i regio zygomatica
cell region	celleregion
neoplasm of uncertain behavior of temporal bone	usikkert om benignt eller malignt neoplasme i os temporale
structure of capsular plexus of kidney	struktur af kapselpleksus i nyre
malignant neoplasm of greater curve of stomach unspecified	uspecificeret malignt neoplasme i ventriklens store kurvatur
miscellaneous certificate fee not paid	gebyr for ikke nærmere angivet attest ikke betalt
entire forceps major	forceps major som helhed
pancreatic sphincterotomy	pankreatisk sfinkterotomi
pathologic repetition of movements	bevægelsesstereotypi
cold water disease	koldtvandssygdom
suture of fallopian tube NEC	ikke klassificeret andetsteds suturering af tuba uterina
comovirus	Comovirus
GM>10< allotype immunoglobulin	GM>10< allotype immunglobulin
embolectomy of aortic arch	embolektomi af arcus aortae
diabetic bulla	Diabetisk bulla
procedure rescheduled	procedure flyttet til anden tid/dato
constitutional/endogenous eczema of hands and/or feet	Konstitutionelt/endogent eksem på hænder og/eller fødder
microtubules associated with cell organelle	mikrotubuli associeret med celleorganel
amantadine resistant virus present	amantadinresistent virus påvist
heat exchanger temperature	varmevekslers temperatur
plain X-ray shaft of humerus	almindelig røntgenundersøgelse af corpus humeri
excision of skin cyst	Excision af hudcyste
paradoxical respiration	paradoks respiration
fibromuscular junction of uterus	fibromuskulære overgang i uterus
with more than 24 hours loss of consciousness and return to pre-existing conscious level hind brain contusion with open intracranial wound	med mere end 24 timers bevidstløshed og tilbagevenden til forudgående bevidsthedstilstand kontusion af cerebellum med åbent intrakranielt sår
ethyl acetate measurement	måling af ethylacetat
hypertrophy of leg	Hypertrofi af ben
membrane organ structure	membranorganstruktur
multiple atypical melanocytic naevi	multiple atypiske naevi melanocytici
endoscopic Nissen fundoplication using thoracic approach	Endoskopisk fundoplikation ved torakal adgang
intervertebral disc space of sixth lumbar vertebra	intervertebralt discusrum på 6. lændehvirvel
glaucoma drainage device	drænageanordning ifm. glaukom
transplant of ileal stoma to new site	transplantation af ileumstruktur med flytning af stomi
drug abuse prevention	forebyggelse af stof- og alkoholmisbrug
not wanted yet	endnu ikke ønsket
nonsteroidal antiandrogen	non-steroidt antiandrogen
uncomplicated intravascular line insertion	ukompliceret indsættelse af intravaskulær slange
salpingo-oophorectomy	Salpingoooforektomi
suicidal	Selvmordstruet
corticotropin measurement	måling af corticotropin
senile dementia of the Lewy body type	Senil demens af Lewy legeme typen
structure of internal sheath of optic nerve	struktur af indre synsnerveskede
small cell type malignant tumour	småcellet malign tumor
burkholderia unamae	Burkholderia unamae
finding of Rubella status	fund vedr. rubellastatus
xanthine overdose	overdosis af xanthin
serum amino acids normal	aminosyrer i serum normal
posterior preferential pathway	posteriore præferentielle bane
x-ray pelvimetry	røntgen-pelvimetri
nocardia araoensis	Nocardia araoensis
orthotic device	ortotisk udstyr
entire fibrous type vein	vene med bindevæv som helhed
maintenance/install fitter	vedligeholdelses-/installationsmontør
serotype O153:H45 enterotoxigenic Escherichia coli	serotype O153:H45 enterotoksigen Escherichia coli
staphylococcus species culture	dyrkning af Staphylococcus-art
great-grandparent	oldeforælder
denied opportunity to make informed choices	Nægtet mulighed for at foretage informerede valg
bending of screw	Bøjning af skrue
heart disease	ikke nærmere specificeret Hjertesygdom
aspartate 1-decarboxylase	Aspartat-1-decarboxylase
cardiac arrest rhythm	Rytme ved hjertestop
insulin biphasic isophane human 10/90 100u/mL injection solution 1.5mL cartridge	bifasisk humant insulin isofan 10/90 100 enheder/ml injektionsvæske, opløsning, cylinderampul a 1,5 ml
structure of flexor hallucis longus muscle tendon	struktur af flexor hallucis longus-muskelsene
intentional ergot alkaloid overdose	tilsigtet overdosis af ergotalkaloid
idiopathic peripheral autonomic neuropathy	ikke nærmere specificeret idiopatisk perifer autonom neuropati
benign neoplasm soft tissue of cervical spine	Benignt neoplasme i rygsøjlens bløddele
abnormal alveolar housing	Abnorm alveoleindfatning
lithotripsy	litotripsi
intentional domperidone poisoning	tilsigtet forgiftning med domperidon
radiolabelled Tc99m HSA cerebral blood flow study	Radioaktivt mærket (Tc99m HSA) cerebral perfusionsundersøgelse
ureteritis	Ureterit
salmonella nagoya	Salmonella nagoya
pantothenate measurement	måling af pantothenat
small intestine part	Del af tyndtarm
behavior assessment of the dysexecutive syndrome	Behavior assessment of the dysexecutive syndrome
1 level of presenting part in relation to ischial spines	Ledende fosterdels nedtrængen i forhold til spinae ischiadicae niveau 1
